Column1;Column2;Column3
BCA KCP Karang Anyar;;https://www.google.com/maps/search/Bank+BCA+Jln.+Karang+Anyar+Blok+A1+No.14-15.+Jakarta+Barat,/@-6.1696766,106.7633238,13z/data=!3m1!4b1?entry=ttu
Bank Central Asia - KCP Kartini;;https://www.google.com/maps/search/Bank+BCA+Jln.+Kartini+Raya+27.+Jakarta+Barat,/@-6.1783387,106.7610359,13z/data=!3m1!4b1?entry=ttu
Bank BCA Plaza Pupuk Kaltim, Gedung B Lantai 1, Jl.Kebon Sirih No.6A. Jakarta Barat,;Plaza Pupuk Kaltim, Gedung B Lantai 1, Jl. Kebon Sirih No.6A, Daerah Khusus Ibukota Jakarta 10110;https://www.google.com/maps/place/BCA+KCP+Kebon+Sirih/@-6.1823959,106.829493,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f431963ec6ef:0x2d734790ac18a308!8m2!3d-6.1823959!4d106.8316817!16s%2Fg%2F1q67ttct_?entry=ttu
Bank BCA Komp. Taman Kebon Jeruk, Jln. Meruya Ilir Blok B 6-9. Jakarta Barat,;Komp. Taman Kebon Jeruk, Jl. Meruya Ilir Blok B 6-9, RT.1/RW.9, Srengseng, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630;https://www.google.com/maps/place/BCA/@-6.197694,106.7441994,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f76acf0e33f5:0x848f21dd873bc998!8m2!3d-6.197694!4d106.7463881!16s%2Fg%2F1ptxyhy1c?entry=ttu
BCA KCP KEDOYA BARU;;https://www.google.com/maps/search/Bank+BCA+Ruko+Tomang+Tol+Raya+Blok+A+1%2F21-22.+Jakarta+Barat,/@-6.1870029,106.7591781,14z/data=!3m1!4b1?entry=ttu
Bank BCA (KCP Kemanggisan);;https://www.google.com/maps/search/Bank+BCA+Jln.+Kemanggisan+Utama+Raya+37.+Jakarta+Barat,/@-6.1898665,106.7894068,17z/data=!3m1!4b1?entry=ttu
Bank BCA Jl. Mangga Raya No.20, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510;;https://www.google.com/maps/search/Bank+BCA+Jln.+Mangga+Raya+20.+Jakarta+Barat,/@-6.1605412,106.7804162,14z/data=!3m1!4b1?entry=ttu
Bank BCA Komp.Ketapang Indah Blok A/3-4, Jln. KH Zainal Arifin. Jakarta Barat,;Ketapang Indah, Komp, Jl. Kyai Haji Zainul Arifin No.4, Daerah Khusus Ibukota Jakarta 11140;https://www.google.com/maps/place/BCA+KCP+Ketapang/@-6.1598919,106.815807,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5df5f033611:0x29c9e2fea363a21c!8m2!3d-6.1598919!4d106.8179957!16s%2Fg%2F1tdt3wf0?entry=ttu
Bank BCA Jln. KHM Mansyur 246 A & B. Jakarta Barat,;Jl. KH.Moh.Mansyur No.246, Tanah Sereal, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11250;https://www.google.com/maps/place/BCA+KCP+KHM+Mansyur/@-6.1547154,106.8060722,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7d114264873:0xdc3f822f8d85046c!8m2!3d-6.1547154!4d106.8082609!16s%2Fg%2F11p1894g98?entry=ttu
Bank BCA Jln. KHM Mansyur 73 B dan 72 C. Jakarta Barat,;Jl. KH.Moh.Mansyur No.73B  Tidak ada ulasanRT.2/RW.1, KrendangKec. TamboraKota Jakarta BaratDaerah Khusus Ibukota Jakarta 11260Mansyur 73 B · Jakarta Barat;https://www.google.com/maps/search/Bank+BCA+Jln.+KHM+Mansyur+73+B+dan+72+C.+Jakarta+Barat,/@-6.1512887,106.8054577,17z/data=!3m1!4b1?entry=ttu
Bank BCA Jln. Daan Mogot KM. 11 Wisma SSK. Jakarta Barat,;Wisma SSK, Jl. Raya Daan Mogot No.KM. 11, RT.3/RW.4, Kedaung Kali Angke, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710;https://www.google.com/maps/place/BCA+KCP+Komp.+Taman+Kota/@-6.1556251,106.7514209,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7c6d70aeffb:0xf5698989d25365c5!8m2!3d-6.1556251!4d106.7536096!16s%2Fg%2F1v387n78?entry=ttu
Bank BCA Komp. Perum Kosambi Baru Blok A Ext-1 Kav 17 & 19, Jl. Nusa Indah Tengah, Cengkareng. Jakarta Barat,;Komp. Perum Kosambi Baru Blok A Ext - 1 Kav. 17 & 19, Jl. Nusa Indah Tengah No.RT.10, RW.13, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750;https://www.google.com/maps/place/BCA+KCP+Kosambi/@-6.1742733,106.7103608,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f82e05d6928f:0xcae1ea410b062ca0!8m2!3d-6.1742733!4d106.7125495!16s%2Fg%2F1pzqc9tq3?entry=ttu
BCA KCP KS Tubun;;https://www.google.com/maps/search/Bank+BCA+Gd.Graha+Indramas+Lt.dasar,+Jln.AIP+II+KS+Tubun+Raya+No.77.+Jakarta+Barat,/@-6.2000802,106.7977778,17z/data=!3m1!4b1?entry=ttu
Bank BCA Jln. Prof. Dr. Latumenten 28. Jakarta Barat,;Jl. Prof. Dr. Latumeten No.28, RT.2/RW.8, Angke, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330;https://www.google.com/maps/place/BCA+KCP+Latumenten/@-6.1481521,106.7916123,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f63747559bdf:0xf745cd3ed5844415!8m2!3d-6.1481521!4d106.793801!16s%2Fg%2F1thlqpjc?entry=ttu
Bank BCA Gedung Hayam Wuruk Indah Lt 1 Blok A-L 01,CKS 056, Jln.Hayam Wuruk 100. Jakarta Barat,;JL.Hayam Wuruk 100 West Jakarta Gedung Hayam Wuruk Indah Lt 1 Blok A-L 01,CKS 056, 11180, RT.5/RW.6, Mangga Besar, Taman Sari, West Jakarta City, Jakarta 11180;https://www.google.com/maps/place/BCA+KCP+Lindeteves/@-6.1452354,106.8137833,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f609dce60639:0xabbc8b900b32a57e!8m2!3d-6.1452354!4d106.815972!16s%2Fg%2F1thlqpj7?entry=ttu
Bank BCA Gedung Lindeteves Trade Center Ruko RA 33 – 35 – 36, Jln.Hayam Wuruk 127. Jakarta Barat,;Gedung Lindeteves Trade Center Ruko RA 33 - 35 - 36, Jl. Hayam Wuruk No.127, RT.1/RW.6, Mangga Besar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110;https://www.google.com/maps/place/BCA+KCP+Lindeteves+Trade+Center/@-6.145985,106.8141383,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7d49773c701:0xd42d527784e13d80!8m2!3d-6.145985!4d106.816327!16s%2Fg%2F11sy70_nl3?entry=ttu
Bank BCA Komp. Lokasari Plaza Blok B 45, Jln. Mangga Besar 81. Jakarta Barat,;Komp. Lokasari Plaza, Jl. Raya Mangga Besar No.81, Tangki, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11170;https://www.google.com/maps/place/BCA+KCP+Lokasari/@-6.1470684,106.8218225,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f5e48c7b46dd:0xf565c1840bed5aef!8m2!3d-6.1470684!4d106.8240112!16s%2Fg%2F1tr2jynq?entry=ttu
Bank BCA Mal Ciputra LG II No. 24-28, Jln. Arteri S. Parman, Slipi. Jakarta Barat,;Mal Ciputra LG II No. 24-28, Jl. Arteri S. Parman, Slipi, RT.11/RW.1, Tj. Duren Utara, Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470;https://www.google.com/maps/place/BCA+KCP+Mal+Ciputra/@-6.1683247,106.7842204,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f65b3ef95187:0x60d80f5167fbcad1!8m2!3d-6.1683247!4d106.7864091!16s%2Fg%2F1tg7pfby?entry=ttu
BCA KCP Mall Taman Anggrek;;https://www.google.com/maps/search/Bank+BCA+Lower+Ground+Lot.+C+07,+Jln.+S.+Parman+Kav.+21,+Slipi.+Jakarta+Barat,/@-6.1748224,106.7623625,13z/data=!3m1!4b1?entry=ttu
BCA KCP Hayam Wuruk Jakarta, Jl. Hayam Wuruk No.54, Maphar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11160;;https://www.google.com/maps/search/Bank+BCA+Jln.+Hayam+Wuruk+No.+111.+Jakarta+Barat,/@-6.1511999,106.8087419,15z/data=!3m1!4b1?entry=ttu
Bank BCA Jln. Mandala Raya 14. Jakarta Barat,;Jl. Mandala Raya No.14, RT.13/RW.5, Tomang, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11440;https://www.google.com/maps/place/BCA+KCP+Mandala+Raya/@-6.17585,106.7970563,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f73647242e93:0xad29392d09d8bd31!8m2!3d-6.17585!4d106.799245!16s%2Fg%2F11sy719pcb?entry=ttu
Bank Central Asia - KCP Mangga Besar Jl. Raya Mangga Besar No.15, Mangga Besar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180;;https://www.google.com/maps/search/Bank+BCA+Jln.+Raya+Mangga+Besar+15.+Jakarta+Barat,/@-6.1473864,106.8132786,15z/data=!3m1!4b1?entry=ttu
Bank BCA Jln. Mangga Besar VIII No.12 A-F. Jakarta Barat,;ATM BCA Mangga Besar VIII  4,5(4)ATM · A-F Jl. Mangga Besar VIII No.12, RT.8/RW.1(021) 6014809;https://www.google.com/maps/search/Bank+BCA+Jln.+Mangga+Besar+VIII+No.12+A-F.+Jakarta+Barat,/@-6.1502862,106.8199001,16z/data=!3m1!4b1?entry=ttu
Bank BCA Ruko Mutiara Taman Palem, Jl. Lingkar Luar Kamal Raya, Perum Perumnas Blok A/2 No.7-8 Cengkareng. Jakarta Barat,;Perum Perumnas, Ruko Mutiara Taman Palem, Jl. Kamal Raya No.7-8, RT.13/RW.10, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730;https://www.google.com/maps/place/BCA+KCP+Mutiara+Taman+Palem/@-6.1391119,106.7285634,17z/data=!3m1!4b1!4m6!3m5!1s0x2e6a1d562762178b:0x2c3379dbf0ad4936!8m2!3d-6.1391119!4d106.7307521!16s%2Fg%2F1ptx_4qgy?entry=ttu
BCA KCP Palmerah;;https://www.google.com/maps/search/Bank+BCA+Jln.+Palmerah+Barat+38+A.+Jakarta+Barat,/@-6.1985989,106.7805116,15z/data=!3m1!4b1?entry=ttu
Bank BCA Komp. Puri Indah Blok A/20-22 1, RT.1/RW.8, Kembangan Sel., Jakarta, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610;;https://www.google.com/maps/search/Bank+BCA+Jl.Raya+Puri+Indah+Blok+A%2F20-22+Kembangan,+Jakarta+11610.+Jakarta+Barat,/@-6.183089,106.7367578,15z/data=!3m1!4b1?entry=ttu
BCA KCP Pejagalan;;https://www.google.com/maps/search/Bank+BCA+Jln.+Pejagalan+I+No.+3E.+Jakarta+Barat,/@-6.1376524,106.803017,17z/data=!3m1!4b1?entry=ttu
Bank BCA Jln. Perniagaan Timur 35. Jakarta Barat,;Jl. Perniagaan Timur No.35, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11230;https://www.google.com/maps/place/BCA+KCP+PERNIAGAAN+TIMUR/@-6.1406425,106.8077082,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f72a778f5ba1:0x67acb482e4347c87!8m2!3d-6.1406425!4d106.8098969!16s%2Fg%2F11rxqfwtky?entry=ttu
BCA KCP Pinangsia Jl. Pinangsia II No. 3 & 3A, RT.12/RW.5, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110;;https://www.google.com/maps/search/Bank+BCA+Jln.+Pinangsia+II+No.3/@-6.1378354,106.8099594,16z/data=!3m1!4b1?entry=ttu
